centre,heading,left_centre,left_angle,right_centre,right_angle,tracked
"(546.28739002932548, 683.4731182795698)",-0.645913820515,"(574.02531645569616, 650.20886075949363)",-0.224363591226,"(585.65861027190329, 666.15206445115803)",-0.944885378057,True
"(546.49725137431278, 683.07946026986508)",-0.642255433966,"(574.05345911949689, 650.12578616352198)",-0.272879729909,"(585.99189463019241, 665.87537993920978)",-0.979430549764,True
"(546.98269040553907, 682.76162215628085)",-0.644422624881,"(574.31372549019602, 649.94530443756446)",-0.242861790879,"(586.22670807453414, 665.55072463768113)",-0.980664710919,True
"(546.98269040553907, 682.76162215628085)",-0.644422624881,"(574.31372549019602, 649.94530443756446)",-0.242861790879,"(586.22670807453414, 665.55072463768113)",-0.980664710919,True
"(547.13433583959898, 682.67067669172934)",-0.64580553979,"(574.60167714884687, 649.70964360587004)",-0.243780740514,"(586.50773993808048, 665.26006191950466)",-0.950744323848,True
"(547.39090469279142, 682.37929366231253)",-0.647741033247,"(574.66041666666661, 649.38437499999998)",-0.274419170035,"(586.71701913393747, 664.9848942598187)",-0.950212010273,True
"(547.39090469279142, 682.37929366231253)",-0.648310640188,"(574.66041666666661, 649.38437499999998)",-0.274419170035,"(586.75621890547256, 664.8955223880597)",-0.965870808005,True
"(547.8313432835821, 682.13880597014929)",-0.648039735172,"(575.00636942675158, 649.2144373673035)",-0.291617648971,"(586.99799799799791, 664.83483483483485)",-0.957566838268,True
"(548.38487475915224, 681.84730250481698)",-0.650038930771,"(575.33333333333337, 649.02830188679241)",-0.274995915022,"(587.17724068479356, 664.6858006042296)",-0.97791261701,True
"(548.38487475915224, 681.84730250481698)",-0.650038930771,"(575.33333333333337, 649.02830188679241)",-0.274995915022,"(587.17724068479356, 664.6858006042296)",-0.97791261701,True
"(548.73475177304965, 681.42647754137113)",-0.648429487156,"(575.53128205128201, 648.89025641025637)",-0.274088872751,"(587.55076923076922, 664.2461538461539)",-0.934687650467,True
"(548.66132167152568, 681.51797862001945)",-0.650832365251,"(575.70781893004107, 648.56481481481478)",-0.313237742665,"(587.72764227642278, 664.125)",-0.952042251203,True
"(548.66132167152568, 681.51797862001945)",-0.650832365251,"(575.70781893004107, 648.56481481481478)",-0.313237742665,"(587.72764227642278, 664.125)",-0.952042251203,True
"(548.61086198305918, 681.54509217737916)",-0.652045609564,"(576.0094339622641, 648.28301886792451)",-0.306928830441,"(587.98780487804879, 663.82825203252025)",-0.94770784571,True
"(548.70852244074626, 681.40595057992937)",-0.65265750469,"(576.27499999999998, 648.01145833333328)",-0.284345679808,"(588.1347305389221, 663.59081836327334)",-0.970047382188,True
"(548.70852244074626, 681.40595057992937)",-0.65265750469,"(576.27499999999998, 648.01145833333328)",-0.284345679808,"(588.1347305389221, 663.59081836327334)",-0.970047382188,True
"(548.92099898063202, 681.17889908256882)",-0.652999990669,"(576.37577639751555, 647.85093167701859)",-0.277749044996,"(588.39687500000002, 663.30833333333328)",-0.973705541845,True
"(549.35714285714289, 680.98263888888891)",-0.655572587117,"(576.48798328108671, 647.79414838035518)",-0.299999509229,"(588.5925925925925, 663.13313313313313)",-0.940541114782,True
"(549.35714285714289, 680.98263888888891)",-0.655572587117,"(576.48798328108671, 647.79414838035518)",-0.299999509229,"(588.5925925925925, 663.13313313313313)",-0.940541114782,True
"(549.68286696121743, 680.7216494845361)",-0.656846541085,"(576.66771488469601, 647.61320754716985)",-0.290309493932,"(588.78905472636814, 662.86965174129352)",-0.961100784524,True
"(550.17821782178214, 680.35030645921734)",-0.656685925441,"(576.984375, 647.38437499999998)",-0.298690616101,"(588.90953785644047, 662.79941002949852)",-0.974598987805,True
"(549.80374753451679, 680.63757396449705)",-0.657271824917,"(576.92356687898086, 647.45541401273886)",-0.293089132627,"(588.90662650602405, 662.71285140562247)",-0.951337565956,True
"(550.25857142857137, 680.28619047619043)",-0.659047899458,"(577.09299895506786, 647.1483803552768)",-0.301703661408,"(589.02083333333337, 662.61408730158723)",-0.958499260761,True
